uni,call_no,first_name,last_name,email,course_no,section_no,semester,section_year,grade
6,1,Marge,Rowet,mrowet5@flickr.com,W3801,1,2,2016,C-
8,6,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1001,2,3,2016,D-
2,3,Rolando,Dagnan,rdagnan1@godaddy.com,W1007,1,3,2017,D
9,5,Fons,Aspinwall,faspinwall8@mlb.com,W3203,3,2,2017,D+
3,6,Nike,Pim,npim2@tmall.com,W1007,1,1,2018,A-
9,1,Fons,Aspinwall,faspinwall8@mlb.com,E1101,1,3,2020,D
7,4,Kip,Knightley,kknightley6@domainmarket.com,E1101,3,2,2020,I
7,7,Kip,Knightley,kknightley6@domainmarket.com,W3801,2,3,2019,C
2,5,Rolando,Dagnan,rdagnan1@godaddy.com,W1007,1,2,2018,C+
6,2,Marge,Rowet,mrowet5@flickr.com,W4117,3,2,2019,A+
5,5,Ceil,Tethcote,ctethcote4@taobao.com,W3203,2,1,2016,A-
4,8,Clarine,Kruschov,ckruschov3@mapquest.com,W4111,2,2,2016,B-
4,6,Clarine,Kruschov,ckruschov3@mapquest.com,W4111,3,2,2018,B+
5,5,Ceil,Tethcote,ctethcote4@taobao.com,E1101,3,1,2020,B+
1,4,Hortense,Moncur,hmoncur0@stanford.edu,W3301,3,2,2016,B
1,10,Hortense,Moncur,hmoncur0@stanford.edu,W3301,1,3,2019,C
6,7,Marge,Rowet,mrowet5@flickr.com,E1101,2,2,2018,D
6,4,Marge,Rowet,mrowet5@flickr.com,E1101,3,1,2020,B
6,3,Marge,Rowet,mrowet5@flickr.com,W4117,3,3,2018,A
8,5,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1007,3,2,2016,C
7,4,Kip,Knightley,kknightley6@domainmarket.com,W3033,1,2,2020,I
8,4,Crystie,McAlarney,cmcalarney7@uiuc.edu,W4117,2,2,2017,I
5,10,Ceil,Tethcote,ctethcote4@taobao.com,W1001,1,2,2016,B-
9,7,Fons,Aspinwall,faspinwall8@mlb.com,W4117,3,3,2018,B-
1,9,Hortense,Moncur,hmoncur0@stanford.edu,E1101,2,3,2020,A
1,1,Hortense,Moncur,hmoncur0@stanford.edu,W4111,2,2,2018,F
2,2,Rolando,Dagnan,rdagnan1@godaddy.com,W3033,3,1,2020,C+
1,7,Hortense,Moncur,hmoncur0@stanford.edu,W1001,1,2,2020,C
6,9,Marge,Rowet,mrowet5@flickr.com,W4111,3,1,2018,C-
5,4,Ceil,Tethcote,ctethcote4@taobao.com,W4111,3,3,2017,F
5,10,Ceil,Tethcote,ctethcote4@taobao.com,W4117,1,3,2016,F
5,8,Ceil,Tethcote,ctethcote4@taobao.com,W4111,1,1,2019,C-
5,6,Ceil,Tethcote,ctethcote4@taobao.com,E1101,2,3,2020,D-
7,9,Kip,Knightley,kknightley6@domainmarket.com,W1103,2,2,2016,A-
8,5,Crystie,McAlarney,cmcalarney7@uiuc.edu,W1103,3,3,2017,F
5,10,Ceil,Tethcote,ctethcote4@taobao.com,W4117,1,3,2020,C-
5,1,Ceil,Tethcote,ctethcote4@taobao.com,W3203,3,2,2020,D+
9,4,Fons,Aspinwall,faspinwall8@mlb.com,W4111,3,3,2019,C+
1,5,Hortense,Moncur,hmoncur0@stanford.edu,W3301,1,1,2016,F
4,10,Clarine,Kruschov,ckruschov3@mapquest.com,W1001,1,2,2017,I
8,6,Crystie,McAlarney,cmcalarney7@uiuc.edu,E1101,3,2,2018,A+
8,8,Crystie,McAlarney,cmcalarney7@uiuc.edu,W3203,3,2,2017,C+
7,5,Kip,Knightley,kknightley6@domainmarket.com,W4111,1,3,2017,A+
5,2,Ceil,Tethcote,ctethcote4@taobao.com,W4111,1,2,2018,C+
4,6,Clarine,Kruschov,ckruschov3@mapquest.com,W1007,1,3,2017,B+
9,1,Fons,Aspinwall,faspinwall8@mlb.com,W3033,2,1,2019,C+
5,8,Ceil,Tethcote,ctethcote4@taobao.com,W3203,1,2,2018,D-
8,2,Crystie,McAlarney,cmcalarney7@uiuc.edu,W4111,2,1,2020,A+
4,7,Clarine,Kruschov,ckruschov3@mapquest.com,W3801,3,2,2017,C
10,3,Jaine,Bambridge,jbambridge9@reuters.com,W3033,2,1,2017,F
4,5,Clarine,Kruschov,ckruschov3@mapquest.com,W3801,3,2,2018,B+
9,4,Fons,Aspinwall,faspinwall8@mlb.com,W3801,3,3,2020,C+
4,7,Clarine,Kruschov,ckruschov3@mapquest.com,W3203,1,1,2020,C-
10,9,Jaine,Bambridge,jbambridge9@reuters.com,W1103,1,2,2016,B
6,6,Marge,Rowet,mrowet5@flickr.com,W1001,3,3,2020,A
5,2,Ceil,Tethcote,ctethcote4@taobao.com,W4111,1,2,2017,D
10,4,Jaine,Bambridge,jbambridge9@reuters.com,W3033,3,1,2020,C
1,1,Hortense,Moncur,hmoncur0@stanford.edu,W1001,2,3,2020,C
4,1,Clarine,Kruschov,ckruschov3@mapquest.com,W4117,3,2,2016,D
7,2,Kip,Knightley,kknightley6@domainmarket.com,W3301,1,2,2020,D
2,5,Rolando,Dagnan,rdagnan1@godaddy.com,W1007,2,2,2020,D-
8,3,Crystie,McAlarney,cmcalarney7@uiuc.edu,E1101,3,1,2017,D+
2,4,Rolando,Dagnan,rdagnan1@godaddy.com,W1001,3,2,2019,A+
3,1,Nike,Pim,npim2@tmall.com,W1103,2,1,2016,B
6,7,Marge,Rowet,mrowet5@flickr.com,W1007,3,3,2019,F
3,10,Nike,Pim,npim2@tmall.com,W1001,1,3,2016,C
7,5,Kip,Knightley,kknightley6@domainmarket.com,W4111,3,2,2018,B
9,3,Fons,Aspinwall,faspinwall8@mlb.com,W1007,2,2,2020,I
