uni,lastname,firstname,call_no,course_no,section_no,semester,section_year,grade
1,McDonald,Jarrid,15,W4111,001,1,2020,F
5,Yakubovich,Jaclyn,13,W4117,004,3,2021,D
11,Scheffel,Eldon,14,W1004,004,2,2019,B
14,Wrankmore,Glen,18,W4236,002,1,2021,D
14,Wrankmore,Glen,16,W4995,002,1,2022,B
14,Wrankmore,Glen,16,W4995,002,1,2022,F
9,Baddiley,Jens,15,W4111,001,1,2020,F
12,Purchall,Hadlee,17,W4111,004,3,2020,B
8,Stirley,Rosamund,17,W4111,004,3,2020,C
14,Wrankmore,Glen,4,W4236,001,2,2020,D
16,Bellany,Hertha,16,W4995,002,1,2022,F
4,McAllaster,Xaviera,3,W4236,002,1,2019,F
15,Tapenden,Denver,1,W1004,002,2,2020,A
8,Stirley,Rosamund,6,W3134,003,1,2020,A
6,Wybern,Reynolds,6,W3134,003,1,2020,D
12,Purchall,Hadlee,12,W1004,002,2,2020,D
9,Baddiley,Jens,20,W3134,003,1,2022,B
1,McDonald,Jarrid,19,W1004,001,1,2020,F
13,Hatherill,Petronille,11,W4111,003,2,2019,A
9,Baddiley,Jens,14,W1004,004,2,2019,C
9,Baddiley,Jens,6,W3134,003,1,2020,C
18,Mapplebeck,Gael,2,W1007,001,1,2021,B
18,Mapplebeck,Gael,2,W1007,001,1,2021,D
8,Stirley,Rosamund,12,W1004,002,2,2020,B
1,McDonald,Jarrid,5,E6156,004,1,2022,F
3,Sewart,Jaquenette,8,W3203,004,2,2021,C
14,Wrankmore,Glen,16,W4995,002,1,2022,F
14,Wrankmore,Glen,15,W4111,001,1,2020,F
19,Upfold,Kailey,5,E6156,004,1,2022,C
11,Scheffel,Eldon,10,W3203,004,2,2022,F
5,Yakubovich,Jaclyn,7,W1004,002,1,2020,B
13,Hatherill,Petronille,11,W4111,003,2,2019,C
6,Wybern,Reynolds,1,W1004,002,2,2020,A
17,Richardeau,Harriett,1,W1004,002,2,2020,B
16,Bellany,Hertha,20,W3134,003,1,2022,B
14,Wrankmore,Glen,9,W3113,003,2,2019,A
15,Tapenden,Denver,15,W4111,001,1,2020,F
4,McAllaster,Xaviera,6,W3134,003,1,2020,D
7,O'Hartnedy,Andree,12,W1004,002,2,2020,B
7,O'Hartnedy,Andree,9,W3113,003,2,2019,A
15,Tapenden,Denver,9,W3113,003,2,2019,C
2,Saffe,Puff,13,W4117,004,3,2021,B
13,Hatherill,Petronille,6,W3134,003,1,2020,A
15,Tapenden,Denver,1,W1004,002,2,2020,A
6,Wybern,Reynolds,20,W3134,003,1,2022,B
19,Upfold,Kailey,14,W1004,004,2,2019,F
17,Richardeau,Harriett,18,W4236,002,1,2021,C
1,McDonald,Jarrid,12,W1004,002,2,2020,D
10,Feechum,Avictor,2,W1007,001,1,2021,D
18,Mapplebeck,Gael,8,W3203,004,2,2021,B
14,Wrankmore,Glen,17,W4111,004,3,2020,C
15,Tapenden,Denver,9,W3113,003,2,2019,D
16,Bellany,Hertha,8,W3203,004,2,2021,A
7,O'Hartnedy,Andree,12,W1004,002,2,2020,C
15,Tapenden,Denver,1,W1004,002,2,2020,A
16,Bellany,Hertha,4,W4236,001,2,2020,F
11,Scheffel,Eldon,6,W3134,003,1,2020,C
18,Mapplebeck,Gael,16,W4995,002,1,2022,B
11,Scheffel,Eldon,5,E6156,004,1,2022,A
1,McDonald,Jarrid,13,W4117,004,3,2021,B
7,O'Hartnedy,Andree,15,W4111,001,1,2020,D
15,Tapenden,Denver,17,W4111,004,3,2020,D
4,McAllaster,Xaviera,4,W4236,001,2,2020,A
9,Baddiley,Jens,11,W4111,003,2,2019,D
4,McAllaster,Xaviera,1,W1004,002,2,2020,D
14,Wrankmore,Glen,9,W3113,003,2,2019,C
7,O'Hartnedy,Andree,2,W1007,001,1,2021,F
2,Saffe,Puff,7,W1004,002,1,2020,A
2,Saffe,Puff,12,W1004,002,2,2020,A
19,Upfold,Kailey,7,W1004,002,1,2020,B
3,Sewart,Jaquenette,6,W3134,003,1,2020,D
10,Feechum,Avictor,12,W1004,002,2,2020,C
9,Baddiley,Jens,19,W1004,001,1,2020,D
16,Bellany,Hertha,9,W3113,003,2,2019,F
19,Upfold,Kailey,16,W4995,002,1,2022,F
8,Stirley,Rosamund,4,W4236,001,2,2020,C
15,Tapenden,Denver,8,W3203,004,2,2021,F
11,Scheffel,Eldon,2,W1007,001,1,2021,C
9,Baddiley,Jens,1,W1004,002,2,2020,D
6,Wybern,Reynolds,19,W1004,001,1,2020,C
11,Scheffel,Eldon,2,W1007,001,1,2021,B
8,Stirley,Rosamund,16,W4995,002,1,2022,A
2,Saffe,Puff,17,W4111,004,3,2020,D
2,Saffe,Puff,1,W1004,002,2,2020,D
20,Duckworth,Noreen,10,W3203,004,2,2022,C
9,Baddiley,Jens,1,W1004,002,2,2020,F
19,Upfold,Kailey,14,W1004,004,2,2019,F
2,Saffe,Puff,13,W4117,004,3,2021,B
18,Mapplebeck,Gael,16,W4995,002,1,2022,C
10,Feechum,Avictor,14,W1004,004,2,2019,A
18,Mapplebeck,Gael,14,W1004,004,2,2019,C
2,Saffe,Puff,5,E6156,004,1,2022,B
2,Saffe,Puff,8,W3203,004,2,2021,F
17,Richardeau,Harriett,6,W3134,003,1,2020,D
9,Baddiley,Jens,20,W3134,003,1,2022,C
19,Upfold,Kailey,17,W4111,004,3,2020,F
18,Mapplebeck,Gael,11,W4111,003,2,2019,C
19,Upfold,Kailey,8,W3203,004,2,2021,A
16,Bellany,Hertha,20,W3134,003,1,2022,D
11,Scheffel,Eldon,8,W3203,004,2,2021,A
14,Wrankmore,Glen,6,W3134,003,1,2020,F
5,Yakubovich,Jaclyn,19,W1004,001,1,2020,C
13,Hatherill,Petronille,20,W3134,003,1,2022,A
16,Bellany,Hertha,2,W1007,001,1,2021,D
3,Sewart,Jaquenette,7,W1004,002,1,2020,A
3,Sewart,Jaquenette,12,W1004,002,2,2020,D
9,Baddiley,Jens,11,W4111,003,2,2019,F
7,O'Hartnedy,Andree,3,W4236,002,1,2019,B
9,Baddiley,Jens,17,W4111,004,3,2020,D
14,Wrankmore,Glen,17,W4111,004,3,2020,B
7,O'Hartnedy,Andree,5,E6156,004,1,2022,D
2,Saffe,Puff,8,W3203,004,2,2021,A
3,Sewart,Jaquenette,16,W4995,002,1,2022,F
2,Saffe,Puff,15,W4111,001,1,2020,D
7,O'Hartnedy,Andree,8,W3203,004,2,2021,F
16,Bellany,Hertha,16,W4995,002,1,2022,C
17,Richardeau,Harriett,13,W4117,004,3,2021,C
7,O'Hartnedy,Andree,9,W3113,003,2,2019,C
6,Wybern,Reynolds,10,W3203,004,2,2022,D
14,Wrankmore,Glen,15,W4111,001,1,2020,D
13,Hatherill,Petronille,19,W1004,001,1,2020,F
15,Tapenden,Denver,13,W4117,004,3,2021,A
20,Duckworth,Noreen,15,W4111,001,1,2020,A
1,McDonald,Jarrid,7,W1004,002,1,2020,B
10,Feechum,Avictor,2,W1007,001,1,2021,D
5,Yakubovich,Jaclyn,19,W1004,001,1,2020,F
2,Saffe,Puff,13,W4117,004,3,2021,D
14,Wrankmore,Glen,5,E6156,004,1,2022,B
16,Bellany,Hertha,8,W3203,004,2,2021,F
20,Duckworth,Noreen,13,W4117,004,3,2021,A
1,McDonald,Jarrid,20,W3134,003,1,2022,F
20,Duckworth,Noreen,9,W3113,003,2,2019,A
5,Yakubovich,Jaclyn,10,W3203,004,2,2022,C
3,Sewart,Jaquenette,7,W1004,002,1,2020,C
7,O'Hartnedy,Andree,6,W3134,003,1,2020,B
15,Tapenden,Denver,12,W1004,002,2,2020,C
16,Bellany,Hertha,7,W1004,002,1,2020,F
19,Upfold,Kailey,13,W4117,004,3,2021,A
17,Richardeau,Harriett,1,W1004,002,2,2020,B
2,Saffe,Puff,17,W4111,004,3,2020,F
10,Feechum,Avictor,6,W3134,003,1,2020,C
13,Hatherill,Petronille,2,W1007,001,1,2021,D
15,Tapenden,Denver,19,W1004,001,1,2020,D
8,Stirley,Rosamund,16,W4995,002,1,2022,B
13,Hatherill,Petronille,13,W4117,004,3,2021,D
